Titre,categorie,hashtag,Description - extrait (en),Date,URL,URL image,URL video
Fitbit launches Flex 2 and Charge 2,Connected Sports Gear,#running #swimming,"Well known connected gear brand Fitbit launches two new products : Flex 2 and Charge 2. They both track your daily life data (sleeping, walking, general activity...) and each one has a specificity : Charge 2 is focused on improving your running skills, whereas Flex 2 is made for tracking yout swimming sessions.",01/09/2016,http://www.sporttechie.com/2016/09/01/gadgets/wearables/fitbit-unveils-charge-2-flex-2-trackers/,https://static1.fitbit.com/simple.b-cssdisabled-png.h68bb98f20781d0d17aed743cbeed0d83.pack?items=%2Fcontent%2Fassets%2Fpip%2Fimages%2Fproducts%2Flrn_black_3qtr.png,
"Coros, the smart helmet",Connected Sports Gear,#cycling #helmet,"Coros is a smart cycling helmet that allows bikers to ride more safely and more easily. Many features are included in this helmet (headphones, microphone, voice GPS, data tracking, emergency systems), they are accessible throught a remote on the handlebar and improve your biking activities.",06/09/2016,https://techcrunch.com/2016/09/06/the-coros-linx-is-a-smart-bike-helmet-that-makes-sense/,https://ksr-ugc.imgix.net/assets/013/569/120/a5ffd162e9ce13c878e7f9ab77e79797_original.png?w=680&fit=max&v=1472742874&auto=format&lossless=true&s=418c9b37eb45e4a2a8c70a985b3b2310,
Tomtom new tracker reads your body,Connected Sports Gear,#muscle #fat,Tomtom enters in the connected device market by releasing a new fitness tracker that features body composition reading : the only that guesses the amount of muscles and fat in your body in real-time.,07/09/2016,http://www.sporttechie.com/2016/09/07/gadgets/tomtom-releases-new-fitness-tracker-that-features-body-composition/,http://www.sporttechie.com/wp-content/uploads/2016/09/Screen-Shot-2016-09-07-at-1.46.11-PM.png,
Apple + Nike = <3,Connected Sports Gear,#applewatch #nike,"Apple and Nike collaborate to conceive a new Apple Watch, improved by a specific Nike design and a set of new features focused on activity tracking.",07/09/2016,http://www.sporttechie.com/2016/09/07/technology/apple-nike-launch-running-partner-apple-watch-nike/,http://www.sporttechie.com/wp-content/uploads/2016/09/Screen-Shot-2016-09-07-at-2.11.42-PM.png,
"OMBra, data-tracking sport bra",Connected Sports Gear,#bra #sportswear,"OMBra is a feminine sportswear bra that provides heart, breath, distance and energy data from your running sessions.",21/09/2016,http://www.sporttechie.com/2016/09/21/gadgets/wearables/omsignal-releases-new-smart-sports-bra/,https://cdn.shopify.com/s/files/1/0442/7641/articles/g9cvYremjbSD2WKH7zb6C_HwjeBv1RnP-I3mEFfvUuo_GIiYb64kSjHd2ODFx7MjLDb5uLGWFKiMA0scf05lW98_-ht6RFJoMufNxFTVnNlA10X6-R5G0mtJdN7WiJpXijI_bu5GtrC4lmVyy0vS26lqGYJ8o4f4q7l2GgBWU5lQ55U_R-ODVKMeE0iNcuVczB7ZR0wvuOJ_xaX4Dqr4yUAZRZk_1024x1024.jpg?v=1450901333,
"LVL, first wearable hydration monitor",Connected Sports Gear,#hydration,"LVL is a connected wristband that tracks yout hydratation data, in addition to more common activity data (heart rate, sleep, energy...).",21/09/2016,http://www.cyclingweekly.co.uk/news/latest-news/worlds-first-wearable-hydration-monitor-seeking-kickstarter-funding-285641,https://ksr-ugc.imgix.net/assets/014/278/749/f41228275e463c4b370898272a080c48_original.png?w=680&fit=max&v=1477533625&auto=format&lossless=true&s=5788e959975f9a3e3161dea451463e20,
"Zepp Soccer, track your stats like your FIFA players",Connected Sports Gear,#soccer #smartsocket,"The connected gear brand Zepp has launched a new product for footballers : Zepp Soccer. It's a socket that tracks your data during the play : kicks, sprints and distance are recorded and visualised to help improve your performances.",17/10/2016,http://www.si.com/tech-media/2016/10/17/zepp-play-soccer-tracking-wearable,https://bisly.co/wp-content/uploads/2017/01/ZEPP_Soccer_0054-72dpi.jpg,
"Radar Pace, a personnal training coach",Connected Sports Gear,#glasses #earbuds #coach,"Oakley and Intel have teamed up to create an innovative coaching system : Radar Pace. Throught the earpods located on the glasses, it challenges you during the effort, tracks your activity, creates training programs and help you improve your performances. ",18/10/2016,http://www.sporttechie.com/2016/10/18/gadgets/wearables/oakley-intel-launch-innovative-radar-pace-eyewear/,http://s3-us-west-1.amazonaws.com/com.oakley.media/radar-pace/rpl-hero-bg.jpg,
"Jabra Elite, the wireless sport earbuds",Connected Sports Gear,#earbuds #coach,"Jabra Elite earbuds offer a bunch of cool features to support you during your training : wireless, waterproof, communication support, coaching, heart-rate and energy tracking. And of course, you can listen to music too.",31/10/2016,http://www.sporttechie.com/2016/10/31/fitness/jabra-elite-sport-offers-true-wireless-sports-earbuds/,http://www.emea.jabra.com/-/media/Images/Products/Jabra%20Elite%20Sport/hearthrough/hearthrough_bg_v2.jpg,
Scoutee,Connected Sports Gear,#baseball,"Scoutee is a connected device that measures and evaluates your baseball game. The custom mobile app provides history, video with performance data overlay, data and video analysis, and sharing.",03/11/2016,http://scoutee.co/,http://scoutee.co/wp-content/uploads/scoutee-1.jpg,
